name,latitude,longitude,type,color
LBP033,3.618656,98.602974,MEDAN,primary
LBP056,3.597267,98.609975,MEDAN,primary
LBP088,3.716745,98.634012,MEDAN,primary
LBP108,3.598077,98.607697,MEDAN,primary
LBP153,3.520231,98.661989,MEDAN,primary
LBP165,3.684673,98.645665,MEDAN,primary
LBP169,3.71062,98.642743,MEDAN,primary
LBP215,3.534732,98.682776,MEDAN,primary
LBP217,3.518623,98.63355,MEDAN,primary
LBP218,3.528613,98.663243,MEDAN,primary
LBP276,3.532525,98.662509,MEDAN,primary
LBP298,3.609498,98.608609,MEDAN,primary
LBP334,3.518092,98.665578,MEDAN,primary
LBP337,3.524965,98.674441,MEDAN,primary
LBP338,3.524553,98.657227,MEDAN,primary
LBP339,3.525656,98.679797,MEDAN,primary
LBP340,3.526466,98.668447,MEDAN,primary
LBP341,3.534344,98.677546,MEDAN,primary
LBP343,3.526271,98.689104,MEDAN,primary
LBP357,3.612472,98.606953,MEDAN,primary
LBP371,3.650745,98.658217,MEDAN,primary
LBP417,3.688583,98.646122,MEDAN,primary
LBP434,3.53327,98.696516,MEDAN,primary
LBP437,3.541133,98.595984,MEDAN,primary
LBP458,3.529844,98.690696,MEDAN,primary
LBP480,3.535251,98.687196,MEDAN,primary
LBP733,3.499001,98.647212,MEDAN,primary
LBP803,3.597924,98.734872,MEDAN,primary
LBP847,3.531103,98.68589,MEDAN,primary
LBP869,3.659317,98.656806,MEDAN,primary
MDN001,3.611247,98.694792,MEDAN,primary
MDN009,3.60982,98.645426,MEDAN,primary
MDN010,3.540833,98.708333,MEDAN,primary
MDN015,3.65688,98.674327,MEDAN,primary
MDN022,3.585982,98.613578,MEDAN,primary
MDN023,3.537657,98.722202,MEDAN,primary
MDN025,3.531751,98.605823,MEDAN,primary
MDN026,3.522032,98.639148,MEDAN,primary
MDN028,3.521469,98.621807,MEDAN,primary
MDN029,3.685769,98.70106,MEDAN,primary
MDN030,3.679789,98.681673,MEDAN,primary
MDN033,3.537416,98.733087,MEDAN,primary
MDN038,3.526783,98.621064,MEDAN,primary
MDN039,3.592056,98.626707,MEDAN,primary
MDN040,3.540958,98.679388,MEDAN,primary
MDN042,3.556027,98.632954,MEDAN,primary
MDN043,3.675894,98.668745,MEDAN,primary
MDN044,3.572418,98.621396,MEDAN,primary
MDN045,3.64801,98.694486,MEDAN,primary
MDN046,3.696388,98.673055,MEDAN,primary
MDN048,3.538591,98.685923,MEDAN,primary
MDN051,3.568803,98.629214,MEDAN,primary
MDN052,3.574281,98.647582,MEDAN,primary
MDN053,3.604925,98.645905,MEDAN,primary
MDN057,3.531621,98.647185,MEDAN,primary
MDN059,3.596211,98.631241,MEDAN,primary
MDN061,3.784314,98.697115,MEDAN,primary
MDN066,3.703226,98.663787,MEDAN,primary
MDN067,3.509207,98.614925,MEDAN,primary
MDN069,3.717537,98.668651,MEDAN,primary
MDN070,3.529639,98.655363,MEDAN,primary
MDN071,3.553224,98.629742,MEDAN,primary
MDN073,3.538638,98.623458,MEDAN,primary
MDN077,3.598032,98.710657,MEDAN,primary
MDN078,3.684688,98.665642,MEDAN,primary
MDN079,3.685824,98.672836,MEDAN,primary
MDN084,3.591152,98.643919,MEDAN,primary
MDN087,3.533203,98.72735,MEDAN,primary
MDN100,3.706688,98.63588,MEDAN,primary
MDN111,3.653096,98.679315,MEDAN,primary
MDN113,3.566489,98.652133,MEDAN,primary
MDN116,3.644461,98.673457,MEDAN,primary
MDN120,3.723894,98.677994,MEDAN,primary
MDN121,3.573171,98.628536,MEDAN,primary
MDN128,3.613333,98.659722,MEDAN,primary
MDN143,3.639491,98.673843,MEDAN,primary
MDN146,3.541881,98.664115,MEDAN,primary
MDN147,3.625575,98.707878,MEDAN,primary
MDN151,3.621099,98.707139,MEDAN,primary
MDN160,3.563623,98.620786,MEDAN,primary
MDN162,3.546817,98.649714,MEDAN,primary
MDN163,3.621663,98.693736,MEDAN,primary
MDN166,3.568452,98.645406,MEDAN,primary
MDN168,3.576852,98.642168,MEDAN,primary
MDN169,3.585285,98.634242,MEDAN,primary
MDN175,3.613165,98.652298,MEDAN,primary
MDN176,3.599653,98.637614,MEDAN,primary
MDN177,3.606146,98.631821,MEDAN,primary
MDN182,3.604102,98.625585,MEDAN,primary
MDN183,3.641429,98.683006,MEDAN,primary
MDN190,3.655541,98.666902,MEDAN,primary
MDN194,3.539392,98.611155,MEDAN,primary
MDN196,3.533809,98.719068,MEDAN,primary
MDN197,3.768253,98.683189,MEDAN,primary
MDN200,3.524443,98.663448,MEDAN,primary
MDN201,3.596001,98.612987,MEDAN,primary
MDN202,3.57993,98.616014,MEDAN,primary
MDN203,3.591111,98.64,MEDAN,primary
MDN207,3.543917,98.686395,MEDAN,primary
MDN208,3.656064,98.657724,MEDAN,primary
MDN209,3.577571,98.626154,MEDAN,primary
MDN220,3.60998,98.625928,MEDAN,primary
MDN223,3.520691,98.650513,MEDAN,primary
MDN224,3.539491,98.652913,MEDAN,primary
MDN227,3.546466,98.618078,MEDAN,primary
MDN228,3.663509,98.666783,MEDAN,primary
MDN240,3.59288,98.711213,MEDAN,primary
MDN250,3.510819,98.634683,MEDAN,primary
MDN252,3.56377,98.639551,MEDAN,primary
